source;target;Hierarchy
C5(a);C6(a);paragraph
C5A;C5;paragraph
C5A(a);B115;paragraph
C9;C8;paragraph
C9A;C8;paragraph
C10;C8;paragraph
C10;22;paragraph
C11;C8;paragraph
C12;C8;paragraph
C12;C4(a);paragraph
C13;C8;paragraph
C14;C8;paragraph
C15(b);C8;paragraph
C15(b);B119;paragraph
C15A;C8;paragraph
C17;C8;paragraph
C18;C10;paragraph
C18(a);B72(e)(iii);paragraph
C18(b);91(a);paragraph
C18(b);C19(b);paragraph
C18(b)(ii);B134;paragraph
C19(a);C13;paragraph
C19(a);C13;paragraph
C19(b);91(a);paragraph
C19(b)(i);C13;paragraph
C19(b)(i);C13;paragraph
C19(b)(iii);C13;paragraph
C19(b)(iii);C13;paragraph
C19(b)(iv);B134;paragraph
C20;47;paragraph
C21;C22;paragraph
C22;C21;paragraph
C23;22;paragraph
C23;22;paragraph
C23;B72(e)(iii);paragraph
C24(c);B134;paragraph
C25;C2(b);paragraph
C25;C2(b);paragraph
C30;C29;paragraph
C31;C29;paragraph
C32;C29;paragraph
C32(a);C29(a);paragraph
C32(b)(ii);C29;paragraph
C32(c);C29(b);paragraph
C33;C29;paragraph
C33(a);C29;paragraph
